name,longitude,latitude
Aberdeen,-2.09375976250924,57.14985079709585
Abertawe,-3.94141769769461,51.62011048035453
Bangor,-4.12820677087571,53.22795647734920
Bath,-2.35928521206279,51.38280285804964
Birmingham,-1.90294064271264,52.47928436425688
Brighton,-0.14355303116801,50.82361617810155
Bristol,-2.60098162885922,51.45313420187018
Cambridge,0.11968029299055,52.20486192890537
Canterbury,1.07888290448306,51.27967612474384
Cardiff,-3.17685547492697,51.48000471985110
Carlisle,-2.93301882089640,54.89261972378832
Casnewydd,-2.99674213702737,51.58790249835841
Chelmsford,0.47360617920112,51.73704745294105
Chester,-2.89164353080276,53.19020363034959
Colchester,0.89934753095037,51.88970860329176
Doncaster,-1.13235204885765,53.52272295935280
Dundee,-2.97367132149799,56.45840581921185
Durham,-1.58260714127395,54.77786395757862
Edinburgh,-3.18910561081784,55.95334432795488
Ely,0.26250914777032,52.39961039837240
Exeter,-3.53259636300341,50.72257929713656
Glasgow,-4.23688398817604,55.86362985902473
Gloucester,-2.24693424322281,51.86455042395399
Hereford,-2.71754978850477,52.05597927243450
Inbhir Nis,-4.22622129478818,57.47999771497047
Hull,-0.33257584229702,53.74458745245769
Lancaster,-2.80316100172839,54.05006939095806
Leeds,-1.55026353543575,53.80070263492681
Leicester,-1.13346203313688,52.63361426986729
Lichfield,-1.82728660380025,52.68307827045177
Lincoln,-0.53844030526454,53.23484125655983
Liverpool,-2.97849491836291,53.40934981632255
London,-0.12772400574287,51.50740692743040
Manchester,-2.24527795222166,53.47894006402857
Milton Keynes,-0.75406247201105,52.04302215434446
Newcastle,-1.61018898138758,54.97801101416990
Norwich,1.29330728438099,52.62886864809417
Nottingham,-1.15120375474757,52.95619567178388
Oxford,-1.25764705062679,51.75197737680995
Perth,-3.43890187794962,56.39547136009792
Peterborough,-0.24249759972457,52.57250933088812
Plymouth,-4.14206823308745,50.37001456743211
Portsmouth,-1.09116992057865,50.79684997453599
Preston,-2.69852760691839,53.76055434783284
Reading,-0.97375972843813,51.45380158444122
Ripon,-1.52342271646973,54.13603249088548
Salisbury,-1.79642533215245,51.07036792364730
Sheffield,-1.46853634266053,53.38250766554206
Southampton,-1.40431263412745,50.90489085195718
Southend,0.71137479965188,51.54011987836223
St Albans,-0.33908956883185,51.75230777860175
St Asaph,-3.44569937566893,53.25786186559021
Stirling,-3.93416221974941,56.11546172985756
Stoke-on-Trent,-2.17336917405885,53.02218368045074
Truro,-5.05101265950598,50.26333005342755
Tyddewi,-5.26464461355484,51.88087404464543
Wakefield,-1.49816925190125,53.68370416717971
Wells,-2.64716574217371,51.20864264661682
Worcester,-2.22108792441061,52.19293201493013
Wrexham,-2.99478143209144,53.04792129143702
York,-1.08367483550920,53.96200871737406
