operator,color_r,color_g,color_b
OJNS,0,255,125
WTRM,173,68,255
LAKC,192,255,24
VISB,21,156,255
NIBS,255,23,22
BBGG,255,53,17
SWGG,13,255,0
BARB,0,255,152
DWYN,255,30,30
OWNC,20,97,255
KLCO,255,32,42
CSVC,255,0,16
DJWA,33,127,255
MACH,38,111,255
ENSB,0,153,255
SIMO,0,80,255
BENC,228,45,255
FLTB,45,121,255
VILB,35,225,120
DEWS,35,255,61
MBTR,170,232,255
CGCB,35,96,255
STAR,37,127,255
LEMB,255,252,0
LEMN,255,252,0
ZSIN,255,153,30
MARI,225,103,35
NTMY,255,0,128
EFCT,0,255,0
WHIP,36,123,255
DPCE,0,204,255
DELA,0,0,255
MYAL,0,0,255
BBCG,19,127,255
GLCS,19,127,255
SCRT,0,0,255
CUCC,255,0,0
LTEA,255,255,0
BPHI,0,0,255
ECBU,0,255,96
HNTS,123,183,255
MDBC,16,63,255
WHTL,255,0,0
DGCB,255,59,238
AVOD,255,38,32
SDCT,0,255,96
SWCO,255,32,73
ASCT,243,255,17
EDWC,0,176,255
FELL,61,92,255
MCNN,255,123,44
FGTR,54,104,255
MOFF,255,196,121
HRSC,255,0,1
HNMI,0,123,255
MCCL,255,0,0
ie-290,29,255,218
PAOL,255,223,0
TNLX,0,255,0
KBUS,0,139,255
SYFT,15,70,255
BDRB,0,0,255
ESCL,255,0,0
MSHC,255,123,52
MINS,255,3,50
BTNA,0,0,255
LLAN,49,170,255
EFCO,30,122,255
STUR,0,107,255
ANSL,47,43,255
MBUP,0,0,255
HCCT,38,47,255
YSQU,102,255,0
NMCO,255,0,0
TAWT,97,167,255
STNE,0,181,255
STNT,0,181,255
ie-292,255,31,31
ie-10000,255,0,0
ALSC,57,165,255
WESB,60,179,255
MRRS,160,236,255
PCVN,255,36,23
HAMS,255,22,61
SABE,58,114,255
WCMO,255,35,49
HRRS,255,0,0
ENLI,255,158,0
JAEV,34,99,255
CHAR,30,159,255
SWCC,255,110,1
DGTR,1,201,255
ESTS,255,20,0
HNTS,255,222,12
TYSW,255,237,0
HGCT,0,255,73
HCTY,0,255,73
YRRB,0,255,73
ie-7778347,0,255,124
ie-866,0,140,255
ie-690,0,0,255
ie-JJBK,0,255,70
NLKF,0,155,255
DUTR,255,215,144
HOWT,0,143,255
NNIH,0,255,71
OBUS,255,0,0
HFRS,0,0,255
GRTL,0,0,255
HWCO,255,195,0
DMKM,0,91,255
SKYE,0,0,255
REAY,0,138,255
BDOL,255,209,0
GALM,255,225,0
HETR,255,0,14
PMLN,0,106,255
AVMT,255,52,26
JURG,255,173,0
PWTD,255,128,0
SBAY,0,56,255
GLHD,73,129,255
MFAR,51,145,255
NCLL,255,0,5
NSWC,0,0,255
SWSS,0,0,255
ie-FY-RA,255,56,44
BVTE,0,0,255
ie-1030,255,109,0
TBTJ,0,0,255
